,cycle,peak_number,peak_left_border(V),peak (V),peak_right_border(V),capacity_under_peak,prominance,time_to_peak(s),const_current_time,fixed_time_to_peak,soc%
0,2.0,0.0,3.875919818878174,3.9539997577667236,4.015718460083008,0.32546480605363304,1.453212415627114,1200.6111600296135,4868.443872177196,0.0,0.79
1,3.0,0.0,3.9282431602478027,3.937800645828247,3.932292938232422,0.009169312719483846,0.004684565581340117,150.07573967541975,4507.711083723665,0.0,0.76
4,4.0,0.0,3.910099983215332,3.969550848007202,4.038883209228516,0.27969082224809094,0.9954210666973866,840.4238479209744,4305.040018589021,1800.9105727085116,0.76
6,5.0,0.0,3.8929288387298584,3.967121124267578,4.0375871658325195,0.3117576747325521,1.1923314548812072,1050.5329934906986,4406.816484908927,1890.9625572222358,0.76
7,6.0,0.0,3.8930909633636475,3.969550848007202,4.0338616371154785,0.30258381669105416,1.0741190366807938,1080.5485508301426,4393.506409335189,1650.816545494934,0.74
8,7.0,0.0,3.9008665084838867,3.9842922687530518,4.089910507202148,0.36223634648323166,1.3118143403062992,1050.5140219076857,4035.4180636617416,1560.7710217333952,0.72
9,8.0,0.0,3.907994031906128,3.9982235431671143,4.09655237197876,0.3530785884641965,1.2362177441904107,1110.5421584741998,3880.6701154500447,1500.756382030202,0.71
10,9.0,0.0,3.9254891872406006,4.0058369636535645,4.064640045166016,0.27054412734628297,0.7960239311687687,1020.5144702643593,3778.312436409204,1470.7256758451986,0.7
11,10.0,0.0,3.9259750843048096,4.002111434936523,4.074845314025879,0.2797095724780707,0.848973654866545,930.4688915859151,3690.86027820761,1530.7725079316879,0.69
12,11.0,0.0,3.9207913875579834,3.997737407684326,4.069013595581055,0.28428020522064923,0.9114363531028198,960.4850152067374,3777.924758491548,1590.773696490447,0.7
13,12.0,0.0,3.9143118858337402,3.99239182472229,4.056216239929199,0.27510130042174197,0.8225540938020157,990.485548481578,3876.9904141070824,1560.7592633579043,0.7
14,13.0,0.0,3.8953588008880615,3.9752206802368164,4.0889387130737305,0.3438695255641999,1.2327021152197473,930.4555885156151,3786.880059717681,1350.6804317298229,0.68
15,14.0,0.0,3.9162557125091553,4.004703044891357,4.1174492835998535,0.348499713673748,1.1521360961735965,990.4989712051465,3547.51884841451,1350.649250897608,0.67
16,15.0,0.0,3.9199814796447754,4.010210990905762,4.111941337585449,0.3301565554078518,1.0715117346270644,1020.4828941769956,3505.144424541935,1320.665457137773,0.67
17,16.0,0.0,3.9183616638183594,4.0071330070495605,4.123929023742676,0.3439215000127973,1.0541675721513755,960.4838481531187,3459.004448188948,1230.6197678687458,0.66
19,17.0,0.0,3.9238693714141846,4.023655891418457,4.12652063369751,0.3347528236158528,0.9972190130919015,1080.54434395532,3377.693043534656,1440.7256844809745,0.66
20,18.0,0.0,3.9277570247650146,4.005674839019775,4.079057216644287,0.27054618231219685,0.77505175619181,900.4395077516092,3538.115608762994,1350.6814406193153,0.67
21,19.0,0.0,3.9201436042785645,4.001949310302734,4.072415828704834,0.27511325560874234,0.7927023345271855,960.485041166452,3627.428139630694,1230.6041718887573,0.68
22,20.0,0.0,3.9303488731384277,4.010210990905762,4.073225498199463,0.24761423465374754,0.598274195946622,900.4541269421461,3517.2244699921343,1230.604489054298,0.66
23,21.0,0.0,3.9271092414855957,4.021226406097412,4.129436492919922,0.3347409324540429,1.0016177846168242,1020.4984315459442,3351.5998076822234,1230.6042971459683,0.65
24,22.0,0.0,3.942336320877075,4.022036075592041,4.076627254486084,0.23386455356085456,0.6088315447112516,900.4377543014707,3342.9907184228387,1230.6222220002091,0.65
25,23.0,0.0,3.933912754058838,4.011668682098389,4.104166030883789,0.28430199545288914,0.7517561875835803,840.4078591971193,3305.366250121071,1140.558789023431,0.48
26,24.0,0.0,3.9292149543762207,4.011020660400391,4.112913608551025,0.3026579385439483,0.8535156805163067,870.4385801940807,3283.3666041842744,1110.5594958242145,0.64
28,25.0,0.0,3.931159019470215,4.022846221923828,4.144501686096191,0.33475266457033825,0.944957962338707,930.4529586060671,3186.5887629461117,1080.5442463119398,0.64
29,26.0,0.0,3.95902156829834,4.038721561431885,4.0879669189453125,0.2155256162747463,0.47669341969810364,870.4227603211184,3155.6167231831646,1110.5593101314153,0.63
30,27.0,0.0,3.939258575439453,4.030135631561279,4.147255897521973,0.325577654826688,0.9318687180964932,930.4689142323332,3132.4625384153583,1200.6050448837923,0.63
31,28.0,0.0,3.936180591583252,4.0338616371154785,4.142719745635986,0.32099984898973233,0.8879142749499955,990.4985642559477,3107.820059951726,1260.6361253173673,0.63
32,29.0,0.0,3.93310284614563,4.0332136154174805,4.139480113983154,0.3210022298461226,0.9325996430984446,1020.5138919179444,3133.446788579614,1260.6356283086352,0.63
